date,みずの
2020-04-01,5
2020-04-02,3
2020-04-03,10
2020-04-04,9
2020-04-05,
2020-04-06,15
2020-04-07,
2020-04-08,12
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,5
2020-04-13,5
2020-04-14,
2020-04-15,
2020-04-16,30
2020-04-17,
2020-04-18,
2020-04-19,60
2020-04-20,10
2020-04-21,
2020-04-22,20
2020-04-23,15
2020-04-24,25
2020-04-25,50
2020-04-26,35
2020-04-27,60
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,55
2020-05-03,65
2020-05-04,
2020-05-05,40
2020-05-06,
2020-05-07,60
2020-05-08,
2020-05-09,30
2020-05-10,40
2020-05-11,
2020-05-12,50
2020-05-13,60
2020-05-14,
2020-05-15,30