,スギ,ヒノキ,合計,飛散ランク,単位：個/平方センチメートル
01月27日,0,0,0,,
01月28日,0,0,0,,
01月29日,0.3,0,0.3,少ない,
01月30日,0,0,0,,
01月31日,0,0,0,,
02月01日,0,0,0,,
02月02日,0.3,0,0.3,少ない,
02月03日,1.5,0,1.5,少ない,
02月04日,0.3,0,0.3,少ない,
02月05日,0,0,0,,
02月06日,0.3,0,0.3,少ない,
02月07日,0,0,0,,
02月08日,0.9,0,0.9,少ない,
02月09日,0,0,0,,
02月10日,0,0,0,,
02月11日,0,0,0,,
02月12日,0.3,0,0.3,少ない,
02月13日,1.9,0,1.9,少ない,
02月14日,12.7,0,12.7,やや多い,
02月15日,62,0,62,非常に多い,
02月16日,4.9,0,4.9,少ない,
02月17日,5.9,0,5.9,少ない,
02月18日,4,0,4,少ない,
02月19日,12.7,0,12.7,やや多い,
02月20日,6.5,0,6.5,少ない,
02月21日,229.6,0,229.6,非常に多い,
02月22日,53.7,0,53.7,非常に多い,
02月23日,7.1,0,7.1,少ない,
02月24日,66.7,0,66.7,非常に多い,
02月25日,59.6,0,59.6,非常に多い,
02月26日,139.5,0,139.5,非常に多い,
02月27日,32.4,0,32.4,多い,
02月28日,56.2,0,56.2,非常に多い,
02月29日,113.9,0,113.9,非常に多い,
03月01日,521,0,521,非常に多い,
03月02日,96.6,0,96.6,非常に多い,
03月03日,71,0,71,非常に多い,
03月04日,57.4,0,57.4,非常に多い,
03月05日,5.2,0,5.2,少ない,
03月06日,9.6,0,9.6,少ない,
03月07日,88.6,0,88.6,非常に多い,
03月08日,116.7,0,116.7,非常に多い,
03月09日,195.4,0,195.4,非常に多い,
03月10日,25.9,0,25.9,やや多い,
03月11日,9,0,9,少ない,
03月12日,60.2,0,60.2,非常に多い,
03月13日,31.5,0,31.5,多い,
03月14日,49.7,0,49.7,多い,
03月15日,8.6,0,8.6,少ない,
03月16日,19.8,0,19.8,やや多い,
03月17日,5.6,0,5.6,少ない,
03月18日,12.3,0,12.3,やや多い,
03月19日,8.6,0,8.6,少ない,
03月20日,6.8,0,6.8,少ない,
03月21日,6.5,0,6.5,少ない,
03月22日,4.6,0,4.6,少ない,
03月23日,9.6,1.5,11.1,やや多い,
03月24日,7.7,2.2,,少ない,
03月25日,0.6,0,,少ない,
03月26日,2.8,2.2,,少ない,
03月27日,1.5,1.2,,少ない,
03月28日,2.5,2.5,,少ない,
03月29日,3.7,12,,やや多い,
03月30日,1.5,2.8,,少ない,
03月31日,4.6,17,,やや多い,
04月01日,0.3,0,,少ない,
04月02日,0.3,5.2,,少ない,
04月03日,6.2,7.7,,やや多い,
04月04日,10.8,41.7,,非常に多い,
04月05日,0.9,0.6,,少ない,
04月06日,0,0.6,,少ない,
04月07日,0,1.5,,少ない,
04月08日,0.6,5.2,,少ない,
04月09日,0.3,4.9,,少ない,
04月10日,0.3,5.2,,少ない,
04月11日,0,4.6,,少ない,
04月12日,0.3,2.5,,少ない,
04月13日,0,3.1,,少ない,
04月14日,0,0,,,
04月15日,0,0,,,
04月16日,0,0,,,